name,lat,lon,obs_cnt,temp_avg,temp_var,temp_cnt,temp_max,temp_min,temp_1,temp_5,temp_10,temp_20,temp_50,temp_80,temp_90,temp_95,temp_99,dni_avg,dni_var,dni_cnt,dni_max,dni_min
75262,33.13,-116.3,17520,20.8269063926942,93.2233492965631,17520,46,0.8,3.6,7.2,9.4,12.2,19.3,29.6,35.1,39.1,43.3,317.606506849315,147453.777228071,17520,1022,0
75263,33.13,-116.26,17520,20.8166495433791,93.4565701996788,17520,46.1,0.8,3.57,7.2,9.4,12.2,19.3,29.6,35.1,39.1,43.3,314.881164383562,145857.955167791,17520,1021,0
75264,33.13,-116.22,17520,21.4782705479452,93.7473975453868,17520,46.8,1.4,4.2,7.8,10,12.8,19.9,30.2,35.8,39.8,44,315.704794520548,144239.54376377,17520,1016,0
75265,33.13,-116.18,17520,22.0818264840182,93.8500801160161,17520,47.3,2,4.77,8.4,10.6,13.4,20.5,30.8,36.4,40.4,44.6,315.396974885845,142067.934016769,17520,1010,0
75266,33.13,-116.14,17520,22.6533732876714,96.2405697036777,17520,48,2.3,5.07,8.7,10.9,13.8,21.2,31.5,37.1,41.1,45.2299999999999,313.64549086758,140670.873745306,17520,1008,0
75267,33.13,-116.1,17520,22.9287100456622,96.4467286287476,17520,48.2,2.4,5.3,8.9,11.1,14,21.5,31.8,37.3,41.3,45.4,311.557534246575,140221.611964483,17520,1008,0
75268,33.13,-116.06,17520,23.0440353881279,96.5246713110369,17520,48.3,2.5,5.4,9,11.2,14.1,21.7,31.9,37.5,41.4,45.5,312.003710045662,140212.167975272,17520,1008,0
75269,33.13,-116.02,17520,23.1026198630137,96.8389673924483,17520,48.2,2.4,5.4,8.9,11.2,14.1,21.8,32,37.6,41.3,45.4,312.497203196347,140728.588610261,17520,1008,0
75270,33.13,-115.98,17520,23.1313869863013,96.9374684797203,17520,48.2,2.4,5.5,8.9,11.2,14.1,21.9,32.1,37.6,41.3,45.4,314.503710045662,141997.423583465,17520,1010,0
75271,33.13,-115.94,17520,23.1478424657535,97.2972714450146,17520,48.1,2.3,5.5,8.9,11.1,14.1,21.9,32.1,37.6,41.2,45.3,314.383904109589,142463.082930599,17520,1011,0
